Model,Skill,RMSE,MAE
Prophet,management_abovyan armenia_Sales_Marketing,0.04470673959801158,0.02884164737929153
Prophet,communication_yerevan armenia_Administrative,4.362514839686776,3.4090378494888287
Prophet,management_yerevan armenia_Administrative,2.9372727888632095,2.414276930697823
Prophet,administration_yerevan armenia_Administrative,2.5404281512990696,2.093985888987763
Prophet,database_yerevan armenia_Administrative,1.7218634887261948,1.4843100034994523
Prophet,finance_yerevan armenia_Administrative,1.633264099810534,1.1706807854857586
Prophet,management_other armenia_Management,2.062527832554246,1.5982482522256076
Prophet,communication_other armenia_Management,1.8851146368220657,1.3511492840980273
Prophet,finance_other armenia_Management,1.7393379963772126,1.2117801711799898
Prophet,sales_other armenia_Management,1.2036663422233467,1.028212077635541
Prophet,leadership_other armenia_Management,1.0909812764590903,0.834441985785994
Prophet,administration_tbilisi georgia_Administrative,0.11133850800255977,0.09623993457481081
Prophet,communication_tbilisi georgia_Administrative,0.10410104993733546,0.08638175073411818
Prophet,management_tbilisi georgia_Administrative,0.05974540498254024,0.05464600799108087
Prophet,accounting_tbilisi georgia_Administrative,0.04049635756598313,0.029456742316416908
Prophet,database_tbilisi georgia_Administrative,0.030802863214111124,0.023176036284438036
Prophet,communication_abovyan armenia_Management,0.5852987065204784,0.31429584207383604
Prophet,management_abovyan armenia_Management,0.7409983307489187,0.37932854732891896
Prophet,administration_abovyan armenia_Management,0.4385290096535146,0.19230769230769232
Prophet,sales_abovyan armenia_Management,0.3349625868888201,0.16738250380312775
Prophet,marketing_abovyan armenia_Management,0.3922322702763681,0.15384615384615385
Prophet,communication_yerevan armenia_IT,7.657434805853621,6.311062087295743
Prophet,sql_yerevan armenia_IT,4.031938901553909,3.4154101471587124
Prophet,software development_yerevan armenia_IT,4.8151745759191575,3.7516281515236827
Prophet,management_yerevan armenia_IT,4.9898068029773235,3.9516892924197924
Prophet,javascript_yerevan armenia_IT,3.8806255336924833,3.088879238164524
Prophet,communication_vanadzor armenia_Sales_Marketing,0.2088842804761662,0.09410219379856068
Prophet,management_vanadzor armenia_Sales_Marketing,0.202170621569947,0.0754386781349865
Prophet,sales_vanadzor armenia_Sales_Marketing,0.20649992265870343,0.08350030528116276
